Material,Magnetic Entropy Change,Magnetic Field,Curie Temperature,source,Number,Article Title,Source Title,DOI,mpid
Mn3GaN,22.3,nan T,,table_only_1stcheck5112.txt,283,Giant barocaloric effect enhanced by the frustration of the antiferromagnetic phase in Mn3GaN,NATURE MATERIALS,10.1038/NMAT4117,Mp-00531
Ni2MnGa,19.2,5 T,,table_only_1stcheck5120.txt,319,"Investigation of the influence of hydrostatic pressure on the magnetic and magnetocaloric properties of Ni2-XMn1+XGa (X=0, 0.15) Heusler alloys",JOURNAL OF APPLIED PHYSICS,10.1063/1.4817250,Mp-00532
AlFe2B2,1.3,2.0 T,285,table_only_1stcheck5131.txt,8,Anisotropic magnetocaloric response in AlFe2B2,JOURNAL OF ALLOYS AND COMPOUNDS,10.1016/j.jallcom.2018.02.205,Mp-00533
YCrO3,0.36,50 kOe,140,table_only_1stcheck5181.txt,393,Magnetocaloric effect and refrigerant capacity in polycrystalline YCrO3,JOURNAL OF PHYSICS AND CHEMISTRY OF SOLIDS,10.1016/j.jpcs.2015.12.012,Mp-00534
PrCo2,10.7,,42,table_only_1stcheck5197.txt,337,Effect of Dy addition on magnetocaloric effect in PrCo2 compound,MATERIALS RESEARCH EXPRESS,10.1088/2053-1591/ab455c,Mp-00535
SrRuO3,2.5,6.5 T,160,table_only_1stcheck5201.txt,353,Magnetocaloric effect in 4d itinerant ferromagnet SrRuO3,JOURNAL OF ALLOYS AND COMPOUNDS,10.1016/j.jallcom.2007.05.022,Mp-00536
TbB2,12.7,7 T,144,table_only_1stcheck5208.txt,364,Magnetocaloric effect in terbium diboride,JOURNAL OF ALLOYS AND COMPOUNDS,10.1016/j.jallcom.2010.03.154,Mp-00537
GdFe6Al6,13.05,7 T,,table_only_1stcheck5236.txt,186,"Properties of the GdTX (T = Mn, Fe, Ni, Pd, X = Al, In) and GdFe6Al6 intermetallics",JOURNAL OF ALLOYS AND COMPOUNDS,10.1016/j.jallcom.2010.08.163,Mp-00538
GdNiAl,6.13,7 T,,table_only_1stcheck5236.txt,201,"Properties of the GdTX (T = Mn, Fe, Ni, Pd, X = Al, In) and GdFe6Al6 intermetallics",JOURNAL OF ALLOYS AND COMPOUNDS,10.1016/j.jallcom.2010.08.163,Mp-00539
GdPdAl,3.72,7 T,,table_only_1stcheck5236.txt,208,"Properties of the GdTX (T = Mn, Fe, Ni, Pd, X = Al, In) and GdFe6Al6 intermetallics",JOURNAL OF ALLOYS AND COMPOUNDS,10.1016/j.jallcom.2010.08.163,Mp-00540
GdPdIn,1.38,7 T,,table_only_1stcheck5236.txt,210,"Properties of the GdTX (T = Mn, Fe, Ni, Pd, X = Al, In) and GdFe6Al6 intermetallics",JOURNAL OF ALLOYS AND COMPOUNDS,10.1016/j.jallcom.2010.08.163,Mp-00541
DyNiGa2,6.2,0-5 T,,table_only_1stcheck5246.txt,71,"Excellent cryogenic magnetocaloric properties in heavy rare-earth based HRENiGa2 (HRE = Dy, Ho, or Er) compounds",SCIENCE CHINA-MATERIALS,10.1007/s40843-022-2095-6,Mp-00542
